DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5,acs_idx_caf
35201073004,3520005,Toronto,535.0,Toronto,35,ON,0.54844456,0.647259215,0.532278236,0.094916582,0.635496363,6.0,11.0,14.0,0.549098146
35201073005,3520005,Toronto,535.0,Toronto,35,ON,0.506507906,0.585409859,0.484495954,0.091065859,0.574585893,6.0,8.0,13.0,0.503686521
35201076001,3520005,Toronto,535.0,Toronto,35,ON,0.485764054,0.557390342,0.444464211,0.086455472,0.531614255,12.0,17.0,23.0,0.465664263
35201076002,3520005,Toronto,535.0,Toronto,35,ON,0.448572764,0.534427436,0.424252178,0.077542798,0.516520771,17.0,20.0,22.0,0.446167215
35201076003,3520005,Toronto,535.0,Toronto,35,ON,0.459598674,0.535902919,0.427494554,0.077274396,0.519019624,13.0,21.0,22.0,0.445630122
35201077001,3520005,Toronto,535.0,Toronto,35,ON,0.528194989,0.589391222,0.479395759,0.092392651,0.56860695,8.0,17.0,21.0,0.498225193
35201077002,3520005,Toronto,535.0,Toronto,35,ON,0.545078157,0.605494694,0.495705337,0.093822798,0.587930157,8.0,15.0,20.0,0.518427537
35201077003,3520005,Toronto,535.0,Toronto,35,ON,0.42787523,0.503380754,0.393352705,0.073414805,0.483808051,13.0,22.0,24.0,0.413947232
35201078001,3520005,Toronto,535.0,Toronto,35,ON,0.546092019,0.61056799,0.497599089,0.096612019,0.591889784,6.0,18.0,21.0,0.519106897
35201078002,3520005,Toronto,535.0,Toronto,35,ON,0.525987653,0.590354408,0.481092725,0.090954318,0.571557137,8.0,17.0,21.0,0.498344897
35201079001,3520005,Toronto,535.0,Toronto,35,ON,0.635277417,0.689304501,0.576339708,0.113498123,0.674342895,5.0,18.0,20.0,0.605540329
35201079002,3520005,Toronto,535.0,Toronto,35,ON,0.523199312,0.582856094,0.471067266,0.097179534,0.566589198,12.0,20.0,24.0,0.500738737
35201079003,3520005,Toronto,535.0,Toronto,35,ON,0.550475937,0.608196282,0.495300206,0.101889713,0.594737542,10.0,20.0,24.0,0.523989337
35201079004,3520005,Toronto,535.0,Toronto,35,ON,0.557682406,0.615802604,0.50516379,0.095634171,0.597919491,7.0,16.0,20.0,0.524437809
35201080003,3520005,Toronto,535.0,Toronto,35,ON,0.684149431,0.733653974,0.616675683,0.124081782,0.714889689,6.0,18.0,19.0,0.649366644
35201080004,3520005,Toronto,535.0,Toronto,35,ON,0.619425322,0.672162768,0.559679119,0.112721899,0.658731533,9.0,19.0,21.0,0.588670251
35201080008,3520005,Toronto,535.0,Toronto,35,ON,0.697145958,0.739884524,0.623317904,0.118176956,0.721903879,3.0,17.0,17.0,0.646425424
35201081004,3520005,Toronto,535.0,Toronto,35,ON,0.462994713,0.527428231,0.421508905,0.083075615,0.504518673,13.0,20.0,23.0,0.45021872
35201104001,3520005,Toronto,535.0,Toronto,35,ON,0.579106969,0.65122636,0.535955219,0.097195832,0.624627314,11.0,13.0,17.0,0.548992422
35201104002,3520005,Toronto,535.0,Toronto,35,ON,0.530345522,0.606938114,0.491129869,0.090967918,0.578050901,10.0,15.0,18.0,0.506216525
35201104003,3520005,Toronto,535.0,Toronto,35,ON,0.527953855,0.59716635,0.484216444,0.092347313,0.570491349,13.0,15.0,20.0,0.501421513
35201105001,3520005,Toronto,535.0,Toronto,35,ON,0.604699325,0.671057049,0.553775972,0.101979234,0.646046956,9.0,12.0,18.0,0.567487118
