DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35201611005,3520005,Toronto,535.0,Toronto,35,ON,0.119869702,0.210210345,0.184669723,0.0,0.261082892,0.036350049,7.306583333,12.1343,13.28191667
35201612001,3520005,Toronto,535.0,Toronto,35,ON,0.129232402,0.224741062,0.191184065,0.0,0.279320095,0.041297272,7.53515,10.28301667,11.91748333
35201612002,3520005,Toronto,535.0,Toronto,35,ON,0.117874369,0.204835142,0.178552866,0.0,0.25261347,0.037770994,8.724633333,10.5598,12.19428333
35201612003,3520005,Toronto,535.0,Toronto,35,ON,0.118697238,0.205123818,0.178185171,0.0,0.25105385,0.037874664,8.508266667,10.78888333,12.42336667
35201612004,3520005,Toronto,535.0,Toronto,35,ON,0.120796152,0.206525279,0.1793102,0.0,0.255559417,0.038099403,8.411133333,10.59701667,12.23148333
35201613001,3520005,Toronto,535.0,Toronto,35,ON,0.135133567,0.23347184,0.201729724,0.0,0.291537981,0.042375714,6.920933333,9.74795,11.38243333
35201614001,3520005,Toronto,535.0,Toronto,35,ON,0.132707448,0.21985405,0.190147314,0.0,0.282454785,0.04062638,6.27575,11.53136667,11.55736667
35201614002,3520005,Toronto,535.0,Toronto,35,ON,0.130011936,0.22050072,0.191548,0.0,0.28186698,0.040172426,8.29855,10.86323333,10.96035
35201615001,3520005,Toronto,535.0,Toronto,35,ON,0.120596686,0.205166817,0.175816337,0.0,0.232344245,0.035265131,7.433016667,10.11325,11.452
35201615002,3520005,Toronto,535.0,Toronto,35,ON,0.118868254,0.207301901,0.17759811,0.0,0.25729601,0.03781222,9.815766667,10.59441667,11.0313
35201615003,3520005,Toronto,535.0,Toronto,35,ON,0.113383724,0.204857849,0.17141492,0.0,0.259504047,0.038326397,8.552216667,10.21796667,11.23245
35201615004,3520005,Toronto,535.0,Toronto,35,ON,0.113296859,0.204920219,0.173053618,0.0,0.259004009,0.038337511,8.6723,10.09786667,11.35253333
35201615005,3520005,Toronto,535.0,Toronto,35,ON,0.113888398,0.208127996,0.176740915,0.0,0.254017107,0.038563545,8.726933333,9.7071,11.40716667
35201616001,3520005,Toronto,535.0,Toronto,35,ON,0.130255231,0.211639852,0.189211401,0.0,0.269660658,0.037553455,7.454316667,11.2281,12.87015
35201616002,3520005,Toronto,535.0,Toronto,35,ON,0.12918081,0.211757787,0.188285903,0.0,0.269031615,0.037344219,7.811816667,10.9802,12.62225
35201616003,3520005,Toronto,535.0,Toronto,35,ON,0.129735414,0.211109067,0.189306507,0.0,0.265118715,0.037149292,8.053533333,10.73848333,12.38053333
35201616004,3520005,Toronto,535.0,Toronto,35,ON,0.122212743,0.212021138,0.18238834,0.0,0.259658124,0.038269452,7.679,10.35923333,11.20601667
35201617001,3520005,Toronto,535.0,Toronto,35,ON,0.118013506,0.206134189,0.174350999,0.0,0.255927884,0.037594098,8.045066667,10.7253,11.2152
35201620001,3520005,Toronto,535.0,Toronto,35,ON,0.130477535,0.219066846,0.190986023,0.0,0.265900045,0.039478241,4.707066667,10.10181667,10.4132
35201620002,3520005,Toronto,535.0,Toronto,35,ON,0.128969857,0.218786364,0.189453469,0.0,0.271959448,0.039221839,4.916266667,9.294233333,10.64456667
35201620003,3520005,Toronto,535.0,Toronto,35,ON,0.122631776,0.208411653,0.183389848,0.0,0.256101008,0.038759405,5.337566667,9.715533333,10.83483333
35201621001,3520005,Toronto,535.0,Toronto,35,ON,0.120529059,0.212089958,0.176163783,0.0,0.254226515,0.036218555,4.42905,9.08935,10.72796667
35201622001,3520005,Toronto,535.0,Toronto,35,ON,0.121052538,0.210105651,0.175860103,0.0,0.247868651,0.03607009,4.382516667,9.515516667,10.68143333
35201622002,3520005,Toronto,535.0,Toronto,35,ON,0.110231303,0.203480626,0.167805663,0.0,0.247113191,0.031899378,4.33575,9.6199,11.26195
35201622003,3520005,Toronto,535.0,Toronto,35,ON,0.112207012,0.198772341,0.171502446,0.0,0.246157717,0.033938429,4.740616667,9.531433333,11.17348333
35201622004,3520005,Toronto,535.0,Toronto,35,ON,0.116619035,0.210199314,0.176102153,0.0,0.25862499,0.034120094,4.320866667,8.855016667,10.49705
35201622005,3520005,Toronto,535.0,Toronto,35,ON,0.114811831,0.20991574,0.17542753,0.0,0.257052972,0.034211174,4.560266667,8.757766667,10.3998
