DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRNAME,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35204867003,3520005,Toronto,535.0,Toronto,35,ON,0.531847237,0.591562801,0.453267515,0.098365018,0.54708849,0.473681378,6.0,17.0,22.0
35204867004,3520005,Toronto,535.0,Toronto,35,ON,0.51500653,0.57589035,0.435346545,0.095256383,0.527709101,0.457659292,7.0,20.0,23.0
35204869001,3520005,Toronto,535.0,Toronto,35,ON,0.581387186,0.637680638,0.499642078,0.105638226,0.594287347,0.526094116,7.0,15.0,20.0
35204869002,3520005,Toronto,535.0,Toronto,35,ON,0.611685607,0.668805785,0.528110064,0.109937628,0.625606951,0.554613516,7.0,14.0,19.0
35204870001,3520005,Toronto,535.0,Toronto,35,ON,0.459139944,0.570575768,0.477598156,0.082530065,0.517357621,0.634158227,5.0,7.0,17.0
35204870002,3520005,Toronto,535.0,Toronto,35,ON,0.428130116,0.544940214,0.446419539,0.078221737,0.497431299,0.579849672,5.0,9.0,20.0
35204870003,3520005,Toronto,535.0,Toronto,35,ON,0.353827972,0.446611718,0.364250485,0.069826654,0.389335222,0.49186731,8.0,15.0,23.0
35204870004,3520005,Toronto,535.0,Toronto,35,ON,0.409960649,0.517138692,0.428182126,0.076870891,0.464215909,0.56640599,0.0,10.0,20.0
35204870005,3520005,Toronto,535.0,Toronto,35,ON,0.399556809,0.51074181,0.416666632,0.075103289,0.459148411,0.549072043,1.0,10.0,20.0
35204870006,3520005,Toronto,535.0,Toronto,35,ON,0.411441182,0.505072774,0.422395427,0.075851136,0.445808152,0.576981047,5.0,13.0,21.0
35204871001,3520005,Toronto,535.0,Toronto,35,ON,0.412364741,0.497434155,0.419192274,0.080109557,0.436941138,0.571991959,10.0,14.0,17.0
35204871002,3520005,Toronto,535.0,Toronto,35,ON,0.366155957,0.457028122,0.375756275,0.071814725,0.398730555,0.509905818,8.0,16.0,20.0
35204871003,3520005,Toronto,535.0,Toronto,35,ON,0.367168712,0.458852158,0.37725863,0.071814725,0.400457518,0.51170075,8.0,16.0,20.0
35204871004,3520005,Toronto,535.0,Toronto,35,ON,0.34863115,0.452872674,0.362254902,0.067245618,0.396616213,0.481485613,6.0,14.0,24.0
35204872002,3520005,Toronto,535.0,Toronto,35,ON,0.368342384,0.484966215,0.383189829,0.069518203,0.439099477,0.496359024,7.0,12.0,24.0
35204872003,3520005,Toronto,535.0,Toronto,35,ON,0.340756259,0.434912577,0.350129798,0.067572607,0.378400845,0.472007153,10.0,16.0,22.0
35204872004,3520005,Toronto,535.0,Toronto,35,ON,0.335160379,0.432585828,0.344444481,0.065996381,0.376013036,0.462221614,9.0,16.0,23.0
35204872005,3520005,Toronto,535.0,Toronto,35,ON,0.341872137,0.451191818,0.354853077,0.066398447,0.401575946,0.4625157,7.0,14.0,25.0
35204872006,3520005,Toronto,535.0,Toronto,35,ON,0.353408927,0.439756974,0.360162637,0.071056222,0.37995658,0.492490565,11.0,17.0,20.0
35204873001,3520005,Toronto,535.0,Toronto,35,ON,0.374525239,0.469302182,0.376222594,0.070320674,0.42174191,0.492633956,14.0,19.0,20.0
