DBUID,CSDUID,CSDNAME,CMAUID,CMANAME,PRUID,PRCODE,acs_idx_hf,acs_idx_emp,acs_idx_srf,acs_idx_psef,acs_idx_ef,acs_idx_caf,acs_lvl_gs-1,acs_lvl_gs-3,acs_lvl_gs-5
35200035002,3520005,Toronto,535.0,Toronto,35,ON,0.039831349,0.077185882,0.042020108,0.0,0.326858035,0.003306472,4.10385,5.311633333,9.345633333
35200035003,3520005,Toronto,535.0,Toronto,35,ON,0.040813255,0.077956545,0.041164096,0.0,0.318124833,0.028368129,4.794183333,5.3413,9.375316667
35200035004,3520005,Toronto,535.0,Toronto,35,ON,0.042375088,0.083693529,0.042880292,0.0,0.333702869,0.030922517,4.167483333,4.542016667,8.2015
35200035005,3520005,Toronto,535.0,Toronto,35,ON,0.041289596,0.077245682,0.041803404,0.0,0.325651148,0.003227334,4.455133333,5.00225,9.036266667
35200035006,3520005,Toronto,535.0,Toronto,35,ON,0.040806598,0.084832105,0.043464742,0.0,0.325298589,0.003566178,3.30155,5.898583333,8.961133333
35200036001,3520005,Toronto,535.0,Toronto,35,ON,0.042609338,0.0872292,0.049122401,0.0,0.307089363,0.030427737,4.401366667,5.448416667,8.435383333
35200036002,3520005,Toronto,535.0,Toronto,35,ON,0.038305403,0.086853004,0.060654509,0.068113445,0.302209013,0.0341839,4.633666667,5.6807,8.667666667
35200037002,3520005,Toronto,535.0,Toronto,35,ON,0.040208297,0.105350416,0.043054526,0.0,0.300290792,0.003815648,4.027016667,6.306916667,7.899616667
35200037003,3520005,Toronto,535.0,Toronto,35,ON,0.043923214,0.140498775,0.04355452,0.0,0.304472826,0.004199747,5.427683333,6.283933333,6.508883333
35200037004,3520005,Toronto,535.0,Toronto,35,ON,0.044094586,0.146516529,0.043531946,0.0,0.357631854,0.00417941,5.347916667,6.036033333,6.579266667
35200037005,3520005,Toronto,535.0,Toronto,35,ON,0.046134627,0.093311584,0.051705774,0.0,0.341653978,0.03073171,4.0641,4.350783333,6.604116667
35200039001,3520005,Toronto,535.0,Toronto,35,ON,0.043095214,0.097497182,0.052384581,0.0,0.32543264,0.031978973,3.825983333,4.805816667,5.825233333
35200039002,3520005,Toronto,535.0,Toronto,35,ON,0.045818228,0.093713897,0.052140888,0.0,0.344541345,0.031566768,3.93505,4.26495,6.145333333
35200039003,3520005,Toronto,535.0,Toronto,35,ON,0.0473422,0.09786407,0.051990787,0.0,0.317952735,0.034175801,2.833183333,5.61485,5.893483333
35200041002,3520005,Toronto,535.0,Toronto,35,ON,0.047797732,0.107638001,0.049810215,0.075537673,0.340929935,0.041759353,2.997033333,5.032683333,5.3167
35200041003,3520005,Toronto,535.0,Toronto,35,ON,0.049920326,0.104428009,0.051145477,0.077715706,0.315553181,0.043852253,2.1727,4.469733333,4.75375
35200041006,3520005,Toronto,535.0,Toronto,35,ON,0.050073108,0.102719226,0.051084459,0.07787644,0.314413732,0.04400189,2.112783333,4.52965,4.813666667
35200042002,3520005,Toronto,535.0,Toronto,35,ON,0.040944113,0.094126321,0.081516605,0.081670888,0.243582066,0.047469849,1.321266667,7.09235,7.376366667
35200042005,3520005,Toronto,535.0,Toronto,35,ON,0.039365158,0.077867465,0.053462255,0.067296868,0.29537043,0.030203162,10.34018333,11.75466667,12.07825
35200042006,3520005,Toronto,535.0,Toronto,35,ON,0.049813859,0.09669194,0.047877711,0.079914413,0.289862277,0.045600896,0.0,7.048033333,7.33205
35200043001,3520005,Toronto,535.0,Toronto,35,ON,0.049543226,0.099685702,0.04681735,0.078568118,0.290356697,0.044077388,0.4927,7.344,7.54075
35200043002,3520005,Toronto,535.0,Toronto,35,ON,0.048189939,0.091974764,0.080763654,0.081097972,0.253346386,0.046806189,1.525433333,7.296516667,7.580516667
35200043009,3520005,Toronto,535.0,Toronto,35,ON,0.069160403,0.072876703,0.091289642,0.088842883,0.203799243,0.043827041,3.6881,5.887366667,1000.0
35200043010,3520005,Toronto,535.0,Toronto,35,ON,0.069210875,0.078626498,0.078873996,0.091327943,0.23069593,0.044557015,5.095016667,1000.0,1000.0
35200043011,3520005,Toronto,535.0,Toronto,35,ON,0.04192473,0.083585823,0.06110217,0.079790596,0.268660118,0.04099652,1.776933333,8.824966667,9.108983333
35200043012,3520005,Toronto,535.0,Toronto,35,ON,0.078691204,0.083587547,0.064266061,0.090609764,0.239614673,0.047053403,4.102816667,4.557033333,10.13228333
35200043013,3520005,Toronto,535.0,Toronto,35,ON,0.07539738,0.076585665,0.096973049,0.095436967,0.208870225,0.041955525,4.666866667,4.978983333,1000.0
35200044001,3520005,Toronto,535.0,Toronto,35,ON,0.066338721,0.10014451,0.076903038,0.086343078,0.26378154,0.051230772,3.12455,5.955783333,7.19815
35200046002,3520005,Toronto,535.0,Toronto,35,ON,0.06499754,0.085434895,0.076876251,0.083354946,0.207915806,0.042060041,0.28005,5.548166667,6.23695
35200046003,3520005,Toronto,535.0,Toronto,35,ON,0.066053868,0.087473111,0.085834903,0.084163796,0.211970478,0.046124234,0.0,5.2681,5.9569
35200046004,3520005,Toronto,535.0,Toronto,35,ON,0.070093652,0.078861045,0.079767011,0.087783745,0.184398745,0.041542993,1.517283333,6.64045,7.183683333
35200047001,3520005,Toronto,535.0,Toronto,35,ON,0.06569154,0.066117622,0.061182393,0.085836042,0.159909991,0.040237354,2.54885,7.672016667,10.75386667
